# Hand-curated transfer history + reported fees.
# This file serves two purposes:
#   1. Reported fee data feeds the v2 EUR regression as the highest-
#      authority training signal (source weight 3.0, only manual is higher).
#   2. The metadata columns (transfer_type, add_ons, sell-on, contracts)
#      provide context for scouting and modelling, but are not required
#      for the regression itself.
#
# Schema:
#   playerId         Wyscout integer ID. Look up via Player Profile page.
#   player_name      Human-readable (free text — for sanity, not joined).
#   from_team        Selling/releasing club.
#   to_team          Buying/receiving club.
#   transfer_type    One of:
#                      permanent          — outright transfer
#                      loan               — temporary, fee_eur is loan fee
#                      loan_with_option   — loan with buy option (record option in notes)
#                      buy_option         — option from a previous loan was exercised
#                      free               — free transfer (fee_eur should be 0 or blank)
#                      end_of_contract    — contract ran out, no fee
#                      mutual_termination — contract dissolved early
#                      release_clause     — release clause triggered
#                      pre_contract       — pre-contract signed (Bosman-style)
#                      offer              — bid received but NOT completed.
#                                           fee_eur = offer amount; feeds the
#                                           EUR model as market-price evidence
#                                           (loader ignores transfer_type, so
#                                           it trains like a paid fee). Record
#                                           outcome (rejected/pending) in notes.
#   fee_eur          Base transfer fee in EUR. Blank/0 = free/loan-without-fee.
#   add_ons_eur      Performance-based add-ons in EUR (if reported).
#   sell_on_pct      Percentage of next sale owed back to selling club (0-100).
#   as_of_date       Date of transfer (YYYY-MM-DD).
#   season_id        Wyscout seasonId the transfer landed in.
#   contract_until   Length of new contract at receiving club (YYYY-MM-DD).
#   loan_until       For loans only: when the loan ends (YYYY-MM-DD).
#   source_url       Press article / TM URL where fee was reported.
#   notes            Free text — agent, weekly wage, buy-back clause,
#                    rejected bids, anything else worth recording.
#
# Tips for filling rows:
#   - Lines starting with `#` are ignored by load_valuations.py.
#   - Leave `fee_eur` blank for loans-without-fee or free transfers; they
#     still get included in the ledger but are filtered from the EUR-model
#     training data automatically.
#   - You don't have to fill every column for every row — minimum is
#     playerId, fee_eur (if any), as_of_date. The rest is gravy.
#
# SYNTHETIC TRANSFERS:
# To expand the training set with "transfers that could have happened" you can
# add rows with synthetic_flag=1. They feed the EUR regression exactly like
# real reported fees do (same source='reported_fee', same weight). Use this
# to anchor your domain knowledge — "a 28yo perf-75 CB in Liga 3 would sell for
# ~€150k" — and to fill position/age gaps the 8 real transfers don't cover.
#
# For synthetic rows:
#   - playerId must point to a real Wyscout player so we can join GPA perf
#   - as_of_date should be a date during the season you want to "anchor"
#     (so the player's perf for THAT season is what we'd be training against)
#   - season_id should match the as_of_date's football year
#   - fee_eur is your best estimate of what the player would sell for
#   - synthetic_flag=1 marks it as hypothetical (audit-only — model treats
#     synthetic and real fees identically)
#
# Example rows below — delete or replace with real data.
playerId,player_name,from_team,to_team,transfer_type,fee_eur,add_ons_eur,sell_on_pct,as_of_date,season_id,contract_until,loan_until,source_url,notes,synthetic_flag
# 123456,Example Player A,Atlético CP,Some Liga 3 Club,permanent,150000,,15,2025-07-01,191782,2028-06-30,,,Permanent move with 15% sell-on retained,0
# 234567,Example Player B,Some Camp Club,Atlético CP,loan_with_option,0,,,2025-08-15,191782,,2026-06-30,,Loan with €200k buy option,0
# 345678,Example Player C,Free agent,Atlético CP,free,0,,,2025-07-15,191782,2027-06-30,,,Free transfer after contract expired,0
#
# === User-reported transfers (real transfers, highest-authority source) ===
445341,Joãozinho,Atlético CP,Varzim,permanent,30000,,,2026-01-15,191782,,,,Liga 3 → Liga 3 winter move,0
703977,Santiago Hernández Guzmán,Leça,Atlético CP,permanent,27000,,,2026-01-15,191779,,,https://www.transfermarkt.com/santiago-hernandez/profil/spieler/836551,Camp → Liga 3 step-up winter move; pre-transfer season = 25-26 Camp at Leça,0
489426,Elias Franco,Atlético CP,CSKA 1948,permanent,60000,,,2025-07-15,190090,,,,Liga 3 → Bulgaria Prva Liga summer move; pre-transfer season = 24-25 L3 at Atlético CP,0
915086,Hélder Suker,Penafiel,Atlético CP,permanent,25000,,,2026-01-15,191782,,,,Segunda Liga → Liga 3 winter move (drop-down),0
709015,Tâmble Monteiro,Felgueiras 1932,Portimonense,permanent,250000,,,2024-01-15,189147,,,,Liga 3 → Primeira Liga winter move (Wyscout data has him at Anadia pre-Felgueiras),0
807307,Juan Perea,Académica,Lokomotiv Plovdiv,permanent,100000,,,2024-07-15,189147,,,,Liga 3 → Bulgaria Prva Liga summer move,0
852792,Miguel Rebelo,Caldas,Moreirense,permanent,90000,,,2024-01-15,189147,,,,Liga 3 → Primeira Liga winter move,0
650811,Yan Lincoln,Anadia,Moreirense,permanent,450000,,,2025-01-15,190090,,,,Liga 3 → Primeira Liga winter move (Wyscout lists him as 'Yan Maranhão' — same player different alias; only 'Yan' at Anadia),0

# === Real transfers added later ===
846557,Cláudio Araújo,Varzim,Segunda Liga (TBD),permanent,300000,,,2025-07-15,190090,,,,Liga 3 → Segunda Liga summer 2025; pre-transfer = 24-25 L3 Varzim,0
776749,Afonso Moreira,Sporting CP B,Lyon (FRA L1),permanent,2000000,,,2025-07-15,190090,,,,Big-money Sporting B → Lyon move summer 2025; pre-transfer = 24-25 L3 Sporting CP B,0
1038698,Ricardo Brito,Vianense,Santa Clara,permanent,300000,,,2026-07-15,191779,,,,Camp → Primeira Liga summer 2026 step-up; pre-transfer = 25-26 Camp Vianense,0
1039596,Catarino Pascoal,Atlético CP,Sporting Lisbon,permanent,500000,,,2026-07-15,191782,,,,Liga 3 → Primeira (Sporting Lisbon) summer 2026; pre-transfer = 25-26 L3 ACP,0
873635,João Machado,CF Os Belenenses,Ukraine Premier League (TBD),permanent,200000,,,2026-07-15,191782,,,,L3 → Ukraine Premier League summer 2026; pre-transfer = 25-26 L3 Belenenses,0
693095,Coquinho,Oliveira do Hospital,União de Leiria,permanent,200000,,,2026-07-15,191779,,,,Camp → Segunda Liga (União de Leiria) summer 2026; pre-transfer = 25-26 Camp OdH,0
915436,Balelo,Paredes,Bulgaria First League (TBD),permanent,100000,,,2026-07-13,191782,,,,L3 → Bulgaria First League summer 2026; pre-transfer = 25-26 L3 Paredes,0
710097,Yuk Jinyoung,Paredes,Unknown (offer),offer,130000,,,2026-07-13,191782,,,,OFFER — €130k bid received for player summer 2026; not a completed transfer. Treated as market-price evidence; pre-transfer = 25-26 L3 Paredes,0
575377,David Nzanza,Leça,CD Castellón (Segunda División),permanent,60000,,,2026-07-23,191779,2030-06-30,,https://www.cdcastellon.com/david-nzanza-nuevo-jugador-del-cd-castellon/,Camp → Spanish Segunda summer 2026; 14 goals in 25-26 Camp promotion season; Wyscout-registered as 'David'; pre-transfer = 25-26 Camp Leça,0

# === Synthetic transfers (domain-knowledge anchors for "transfers that could have happened") ===
# These are hypothetical fees Lucas would expect based on current Liga 3 / Camp form.
# Pre-transfer season_id is set explicitly per row; all flagged synthetic_flag=1.
598545,Nicolás Souza,Atlético CP,Korea (TBD),permanent,100000,,,2026-07-15,191782,,,,Synthetic: ACP attacker → Korea; pre-transfer = 25-26 L3 ACP,1
646981,Duarte Henriques,Atlético CP,Segunda Liga (TBD),permanent,80000,,,2026-07-15,191782,,,,Synthetic: ACP regular → Segunda; pre-transfer = 25-26 L3 ACP,1
626950,Leandro Ferreira,Louletano,Atlético CP,permanent,80000,,,2026-07-15,191779,,,,Synthetic: Camp wide forward → ACP step-up; pre-transfer = 25-26 Camp Louletano,1
967585,Nuno Gaspar,Benfica Castelo Branco,Atlético CP,permanent,9000,,,2026-07-15,191779,,,,Synthetic: Camp SS → ACP modest fee; pre-transfer = 25-26 Camp,1
946612,Matar Manga,JD Lajense,Sintrense,permanent,10000,,,2026-01-15,191779,,,,Synthetic: intra-Camp Jan move; pre-transfer = 25-26 Camp,1
852804,Miguel Barandas,Atlético CP,Segunda Liga (TBD),permanent,150000,,,2026-07-15,191782,,,,Synthetic: ACP FB → Segunda; pre-transfer = 25-26 L3 ACP,1
914078,Guilherme Neiva,Oliveira do Hospital,Primeira Liga (TBD),permanent,100000,,,2025-07-15,190090,,,,Synthetic: OdH wing → Primeira; pre-transfer = 24-25 L3 OdH,1
603354,João Victor,São João Ver,Segunda Liga (TBD),permanent,200000,,,2025-07-15,190090,,,,Synthetic: SJV starter → Segunda; pre-transfer = 24-25 L3 SJV,1
348076,Fábio Baldé,Leça,Liga 3 (TBD),permanent,30000,,,2026-07-15,191779,,,,Synthetic: Camp CB → Liga 3 step-up; pre-transfer = 25-26 Camp Leça,1
873630,Duarte Bonito,Sintrense,Liga 3 (TBD),permanent,5000,,,2026-07-15,191779,,,,Synthetic: Camp FB → Liga 3 minor fee; pre-transfer = 25-26 Camp,1
